Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 65 or older,8.1,Age 45-64,18.7
Age 18-24,11.9,Age 25-44,20.9
Age 18-24,11.9,Age 45-64,16.9
Age 18-24,11.9,Age 65 or older,8.8
Age 25-44,20.9,Age 18-24,11.9
Age 25-44,20.9,Age 45-64,16.9
Age 25-44,20.9,Age 65 or older,8.8
Age 45-64,16.9,Age 18-24,11.9
Age 45-64,16.9,Age 25-44,20.9
Age 45-64,16.9,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,11.9
Age 65 or older,8.8,Age 25-44,20.9
Age 65 or older,8.8,Age 45-64,16.9
Age 18-24,13.1,Age 25-44,17.9
Age 18-24,13.1,Age 45-64,13.7
Age 18-24,13.1,Age 65 or older,6.6
Age 25-44,17.9,Age 18-24,13.1
Age 25-44,17.9,Age 45-64,13.7
Age 25-44,17.9,Age 65 or older,6.6
Age 45-64,13.7,Age 18-24,13.1
Age 45-64,13.7,Age 25-44,17.9
Age 45-64,13.7,Age 65 or older,6.6
Age 65 or older,6.6,Age 18-24,13.1
Age 65 or older,6.6,Age 25-44,17.9
Age 65 or older,6.6,Age 45-64,13.7
Age 18-24,12.7,Age 25-44,17.8
Age 18-24,12.7,Age 45-64,16.2
Age 18-24,12.7,Age 65 or older,9.3
Age 25-44,17.8,Age 18-24,12.7
Age 25-44,17.8,Age 45-64,16.2
Age 25-44,17.8,Age 65 or older,9.3
Age 45-64,16.2,Age 18-24,12.7
Age 45-64,16.2,Age 25-44,17.8
Age 45-64,16.2,Age 65 or older,9.3
Age 65 or older,9.3,Age 18-24,12.7
Age 65 or older,9.3,Age 25-44,17.8
Age 65 or older,9.3,Age 45-64,16.2
Age 18-24,11.9,Age 25-44,20.4
Age 18-24,11.9,Age 45-64,15.2
Age 18-24,11.9,Age 65 or older,9.8
Age 25-44,20.4,Age 18-24,11.9
Age 25-44,20.4,Age 45-64,15.2
Age 25-44,20.4,Age 65 or older,9.8
Age 45-64,15.2,Age 18-24,11.9
Age 45-64,15.2,Age 25-44,20.4
Age 45-64,15.2,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,11.9
Age 65 or older,9.8,Age 25-44,20.4
Age 65 or older,9.8,Age 45-64,15.2
Age 18-24,18.4,Age 25-44,24.9
Age 18-24,18.4,Age 45-64,25.0
Age 18-24,18.4,Age 65 or older,10.6
Age 25-44,24.9,Age 18-24,18.4
Age 25-44,24.9,Age 45-64,25.0
Age 25-44,24.9,Age 65 or older,10.6
Age 45-64,25.0,Age 18-24,18.4
Age 45-64,25.0,Age 25-44,24.9
Age 45-64,25.0,Age 65 or older,10.6
Age 65 or older,10.6,Age 18-24,18.4
Age 65 or older,10.6,Age 25-44,24.9
Age 65 or older,10.6,Age 45-64,25.0
Age 18-24,14.4,Age 25-44,22.3
Age 18-24,14.4,Age 45-64,17.6
Age 18-24,14.4,Age 65 or older,8.6
Age 25-44,22.3,Age 18-24,14.4
Age 25-44,22.3,Age 45-64,17.6
Age 25-44,22.3,Age 65 or older,8.6
Age 45-64,17.6,Age 18-24,14.4
Age 45-64,17.6,Age 25-44,22.3
Age 45-64,17.6,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,14.4
Age 65 or older,8.6,Age 25-44,22.3
Age 65 or older,8.6,Age 45-64,17.6
Age 18-24,14.1,Age 25-44,22.2
Age 18-24,14.1,Age 45-64,19.5
Age 18-24,14.1,Age 65 or older,8.2
Age 25-44,22.2,Age 18-24,14.1
Age 25-44,22.2,Age 45-64,19.5
Age 25-44,22.2,Age 65 or older,8.2
Age 45-64,19.5,Age 18-24,14.1
Age 45-64,19.5,Age 25-44,22.2
Age 45-64,19.5,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,14.1
Age 65 or older,8.2,Age 25-44,22.2
Age 65 or older,8.2,Age 45-64,19.5
Age 18-24,20.4,Age 25-44,30.8
Age 18-24,20.4,Age 45-64,23.9
Age 18-24,20.4,Age 65 or older,13.1
Age 25-44,30.8,Age 18-24,20.4
Age 25-44,30.8,Age 45-64,23.9
Age 25-44,30.8,Age 65 or older,13.1
Age 45-64,23.9,Age 18-24,20.4
Age 45-64,23.9,Age 25-44,30.8
Age 45-64,23.9,Age 65 or older,13.1
Age 65 or older,13.1,Age 18-24,20.4
Age 65 or older,13.1,Age 25-44,30.8
Age 65 or older,13.1,Age 45-64,23.9
Age 18-24,13.1,Age 25-44,25.6
Age 18-24,13.1,Age 45-64,23.2
Age 18-24,13.1,Age 65 or older,12.0
Age 25-44,25.6,Age 18-24,13.1
Age 25-44,25.6,Age 45-64,23.2
Age 25-44,25.6,Age 65 or older,12.0
Age 45-64,23.2,Age 18-24,13.1
Age 45-64,23.2,Age 25-44,25.6
Age 45-64,23.2,Age 65 or older,12.0
Age 65 or older,12.0,Age 18-24,13.1
Age 65 or older,12.0,Age 25-44,25.6
Age 65 or older,12.0,Age 45-64,23.2
Age 18-24,14.4,Age 25-44,25.8
Age 18-24,14.4,Age 45-64,18.9
Age 18-24,14.4,Age 65 or older,8.5
Age 25-44,25.8,Age 18-24,14.4
Age 25-44,25.8,Age 45-64,18.9
Age 25-44,25.8,Age 65 or older,8.5
Age 45-64,18.9,Age 18-24,14.4
Age 45-64,18.9,Age 25-44,25.8
Age 45-64,18.9,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,14.4
Age 65 or older,8.5,Age 25-44,25.8
Age 65 or older,8.5,Age 45-64,18.9
Age 18-24,8.0,Age 25-44,15.4
Age 18-24,8.0,Age 45-64,14.1
Age 18-24,8.0,Age 65 or older,7.9
Age 25-44,15.4,Age 18-24,8.0
Age 25-44,15.4,Age 45-64,14.1
Age 25-44,15.4,Age 65 or older,7.9
Age 45-64,14.1,Age 18-24,8.0
Age 45-64,14.1,Age 25-44,15.4
Age 45-64,14.1,Age 65 or older,7.9
Age 65 or older,7.9,Age 18-24,8.0
Age 65 or older,7.9,Age 25-44,15.4
Age 65 or older,7.9,Age 45-64,14.1
Age 18-24,10.1,Age 25-44,17.2
Age 18-24,10.1,Age 45-64,13.8
Age 18-24,10.1,Age 65 or older,9.0
Age 25-44,17.2,Age 18-24,10.1
Age 25-44,17.2,Age 45-64,13.8
Age 25-44,17.2,Age 65 or older,9.0
Age 45-64,13.8,Age 18-24,10.1
Age 45-64,13.8,Age 25-44,17.2
Age 45-64,13.8,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,10.1
Age 65 or older,9.0,Age 25-44,17.2
Age 65 or older,9.0,Age 45-64,13.8
Age 18-24,12.6,Age 25-44,27.3
Age 18-24,12.6,Age 45-64,20.4
Age 18-24,12.6,Age 65 or older,8.8
Age 25-44,27.3,Age 18-24,12.6
Age 25-44,27.3,Age 45-64,20.4
Age 25-44,27.3,Age 65 or older,8.8
Age 45-64,20.4,Age 18-24,12.6
Age 45-64,20.4,Age 25-44,27.3
Age 45-64,20.4,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,12.6
Age 65 or older,8.8,Age 25-44,27.3
Age 65 or older,8.8,Age 45-64,20.4
Age 18-24,14.0,Age 25-44,19.9
Age 18-24,14.0,Age 45-64,15.1
Age 18-24,14.0,Age 65 or older,8.3
Age 25-44,19.9,Age 18-24,14.0
Age 25-44,19.9,Age 45-64,15.1
Age 25-44,19.9,Age 65 or older,8.3
Age 45-64,15.1,Age 18-24,14.0
Age 45-64,15.1,Age 25-44,19.9
Age 45-64,15.1,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,14.0
Age 65 or older,8.3,Age 25-44,19.9
Age 65 or older,8.3,Age 45-64,15.1
Age 18-24,10.8,Age 25-44,25.2
Age 18-24,10.8,Age 45-64,25.7
Age 18-24,10.8,Age 65 or older,11.1
Age 25-44,25.2,Age 18-24,10.8
Age 25-44,25.2,Age 45-64,25.7
Age 25-44,25.2,Age 65 or older,11.1
Age 45-64,25.7,Age 18-24,10.8
Age 45-64,25.7,Age 25-44,25.2
Age 45-64,25.7,Age 65 or older,11.1
Age 65 or older,11.1,Age 18-24,10.8
Age 65 or older,11.1,Age 25-44,25.2
Age 65 or older,11.1,Age 45-64,25.7
Age 18-24,18.6,Age 25-44,24.6
Age 18-24,18.6,Age 45-64,21.0
Age 18-24,18.6,Age 65 or older,9.8
Age 25-44,24.6,Age 18-24,18.6
Age 25-44,24.6,Age 45-64,21.0
Age 25-44,24.6,Age 65 or older,9.8
Age 45-64,21.0,Age 18-24,18.6
Age 45-64,21.0,Age 25-44,24.6
Age 45-64,21.0,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,18.6
Age 65 or older,9.8,Age 25-44,24.6
Age 65 or older,9.8,Age 45-64,21.0
Age 18-24,13.9,Age 25-44,24.0
Age 18-24,13.9,Age 45-64,19.8
Age 18-24,13.9,Age 65 or older,10.0
Age 25-44,24.0,Age 18-24,13.9
Age 25-44,24.0,Age 45-64,19.8
Age 25-44,24.0,Age 65 or older,10.0
Age 45-64,19.8,Age 18-24,13.9
Age 45-64,19.8,Age 25-44,24.0
Age 45-64,19.8,Age 65 or older,10.0
Age 65 or older,10.0,Age 18-24,13.9
Age 65 or older,10.0,Age 25-44,24.0
Age 65 or older,10.0,Age 45-64,19.8
Age 18-24,12.8,Age 25-44,20.7
Age 18-24,12.8,Age 45-64,17.7
Age 18-24,12.8,Age 65 or older,7.8
Age 25-44,20.7,Age 18-24,12.8
Age 25-44,20.7,Age 45-64,17.7
Age 25-44,20.7,Age 65 or older,7.8
Age 45-64,17.7,Age 18-24,12.8
Age 45-64,17.7,Age 25-44,20.7
Age 45-64,17.7,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,12.8
Age 65 or older,7.8,Age 25-44,20.7
Age 65 or older,7.8,Age 45-64,17.7
Age 18-24,12.3,Age 25-44,19.5
Age 18-24,12.3,Age 45-64,15.8
Age 18-24,12.3,Age 65 or older,11.0
Age 25-44,19.5,Age 18-24,12.3
Age 25-44,19.5,Age 45-64,15.8
Age 25-44,19.5,Age 65 or older,11.0
Age 45-64,15.8,Age 18-24,12.3
Age 45-64,15.8,Age 25-44,19.5
Age 45-64,15.8,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,12.3
Age 65 or older,11.0,Age 25-44,19.5
Age 65 or older,11.0,Age 45-64,15.8
Age 18-24,11.3,Age 25-44,23.2
Age 18-24,11.3,Age 45-64,15.4
Age 18-24,11.3,Age 65 or older,7.5
Age 25-44,23.2,Age 18-24,11.3
Age 25-44,23.2,Age 45-64,15.4
Age 25-44,23.2,Age 65 or older,7.5
Age 45-64,15.4,Age 18-24,11.3
Age 45-64,15.4,Age 25-44,23.2
Age 45-64,15.4,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,11.3
Age 65 or older,7.5,Age 25-44,23.2
Age 65 or older,7.5,Age 45-64,15.4
Age 18-24,No Data,Age 25-44,17.6
Age 18-24,No Data,Age 45-64,15.2
Age 18-24,No Data,Age 65 or older,7.7
Age 25-44,17.6,Age 18-24,No Data
Age 25-44,17.6,Age 45-64,15.2
Age 25-44,17.6,Age 65 or older,7.7
Age 45-64,15.2,Age 18-24,No Data
Age 45-64,15.2,Age 25-44,17.6
Age 45-64,15.2,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,No Data
Age 65 or older,7.7,Age 25-44,17.6
Age 65 or older,7.7,Age 45-64,15.2
Age 18-24,12.0,Age 25-44,17.1
Age 18-24,12.0,Age 45-64,18.6
Age 18-24,12.0,Age 65 or older,9.4
Age 25-44,17.1,Age 18-24,12.0
Age 25-44,17.1,Age 45-64,18.6
Age 25-44,17.1,Age 65 or older,9.4
Age 45-64,18.6,Age 18-24,12.0
Age 45-64,18.6,Age 25-44,17.1
Age 45-64,18.6,Age 65 or older,9.4
Age 65 or older,9.4,Age 18-24,12.0
Age 65 or older,9.4,Age 25-44,17.1
Age 65 or older,9.4,Age 45-64,18.6
Age 18-24,8.6,Age 25-44,16.0
Age 18-24,8.6,Age 45-64,14.1
Age 18-24,8.6,Age 65 or older,7.9
Age 25-44,16.0,Age 18-24,8.6
Age 25-44,16.0,Age 45-64,14.1
Age 25-44,16.0,Age 65 or older,7.9
Age 45-64,14.1,Age 18-24,8.6
Age 45-64,14.1,Age 25-44,16.0
Age 45-64,14.1,Age 65 or older,7.9
Age 65 or older,7.9,Age 18-24,8.6
Age 65 or older,7.9,Age 25-44,16.0
Age 65 or older,7.9,Age 45-64,14.1
Age 18-24,13.0,Age 25-44,21.5
Age 18-24,13.0,Age 45-64,18.8
Age 18-24,13.0,Age 65 or older,11.7
Age 25-44,21.5,Age 18-24,13.0
Age 25-44,21.5,Age 45-64,18.8
Age 25-44,21.5,Age 65 or older,11.7
Age 45-64,18.8,Age 18-24,13.0
Age 45-64,18.8,Age 25-44,21.5
Age 45-64,18.8,Age 65 or older,11.7
Age 65 or older,11.7,Age 18-24,13.0
Age 65 or older,11.7,Age 25-44,21.5
Age 65 or older,11.7,Age 45-64,18.8
Age 18-24,16.9,Age 25-44,26.1
Age 18-24,16.9,Age 45-64,18.7
Age 18-24,16.9,Age 65 or older,9.2
Age 25-44,26.1,Age 18-24,16.9
Age 25-44,26.1,Age 45-64,18.7
Age 25-44,26.1,Age 65 or older,9.2
Age 45-64,18.7,Age 18-24,16.9
Age 45-64,18.7,Age 25-44,26.1
Age 45-64,18.7,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,16.9
Age 65 or older,9.2,Age 25-44,26.1
Age 65 or older,9.2,Age 45-64,18.7
Age 18-24,15.0,Age 25-44,26.7
Age 18-24,15.0,Age 45-64,23.2
Age 18-24,15.0,Age 65 or older,10.7
Age 25-44,26.7,Age 18-24,15.0
Age 25-44,26.7,Age 45-64,23.2
Age 25-44,26.7,Age 65 or older,10.7
Age 45-64,23.2,Age 18-24,15.0
Age 45-64,23.2,Age 25-44,26.7
Age 45-64,23.2,Age 65 or older,10.7
Age 65 or older,10.7,Age 18-24,15.0
Age 65 or older,10.7,Age 25-44,26.7
Age 65 or older,10.7,Age 45-64,23.2
Age 18-24,17.3,Age 25-44,21.7
Age 18-24,17.3,Age 45-64,23.7
Age 18-24,17.3,Age 65 or older,11.7
Age 25-44,21.7,Age 18-24,17.3
Age 25-44,21.7,Age 45-64,23.7
Age 25-44,21.7,Age 65 or older,11.7
Age 45-64,23.7,Age 18-24,17.3
Age 45-64,23.7,Age 25-44,21.7
Age 45-64,23.7,Age 65 or older,11.7
Age 65 or older,11.7,Age 18-24,17.3
Age 65 or older,11.7,Age 25-44,21.7
Age 65 or older,11.7,Age 45-64,23.7
Age 18-24,13.4,Age 25-44,18.6
Age 18-24,13.4,Age 45-64,17.6
Age 18-24,13.4,Age 65 or older,9.4
Age 25-44,18.6,Age 18-24,13.4
Age 25-44,18.6,Age 45-64,17.6
Age 25-44,18.6,Age 65 or older,9.4
Age 45-64,17.6,Age 18-24,13.4
Age 45-64,17.6,Age 25-44,18.6
Age 45-64,17.6,Age 65 or older,9.4
Age 65 or older,9.4,Age 18-24,13.4
Age 65 or older,9.4,Age 25-44,18.6
Age 65 or older,9.4,Age 45-64,17.6
Age 18-24,10.3,Age 25-44,23.0
Age 18-24,10.3,Age 45-64,19.0
Age 18-24,10.3,Age 65 or older,9.6
Age 25-44,23.0,Age 18-24,10.3
Age 25-44,23.0,Age 45-64,19.0
Age 25-44,23.0,Age 65 or older,9.6
Age 45-64,19.0,Age 18-24,10.3
Age 45-64,19.0,Age 25-44,23.0
Age 45-64,19.0,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,10.3
Age 65 or older,9.6,Age 25-44,23.0
Age 65 or older,9.6,Age 45-64,19.0
Age 18-24,13.1,Age 25-44,18.4
Age 18-24,13.1,Age 45-64,15.9
Age 18-24,13.1,Age 65 or older,8.1
Age 25-44,18.4,Age 18-24,13.1
Age 25-44,18.4,Age 45-64,15.9
Age 25-44,18.4,Age 65 or older,8.1
Age 45-64,15.9,Age 18-24,13.1
Age 45-64,15.9,Age 25-44,18.4
Age 45-64,15.9,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,13.1
Age 65 or older,8.1,Age 25-44,18.4
Age 65 or older,8.1,Age 45-64,15.9
Age 18-24,14.0,Age 25-44,22.4
Age 18-24,14.0,Age 45-64,21.1
Age 18-24,14.0,Age 65 or older,9.6
Age 25-44,22.4,Age 18-24,14.0
Age 25-44,22.4,Age 45-64,21.1
Age 25-44,22.4,Age 65 or older,9.6
Age 45-64,21.1,Age 18-24,14.0
Age 45-64,21.1,Age 25-44,22.4
Age 45-64,21.1,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,14.0
Age 65 or older,9.6,Age 25-44,22.4
Age 65 or older,9.6,Age 45-64,21.1
Age 18-24,18.0,Age 25-44,26.5
Age 18-24,18.0,Age 45-64,18.9
Age 18-24,18.0,Age 65 or older,8.9
Age 25-44,26.5,Age 18-24,18.0
Age 25-44,26.5,Age 45-64,18.9
Age 25-44,26.5,Age 65 or older,8.9
Age 45-64,18.9,Age 18-24,18.0
Age 45-64,18.9,Age 25-44,26.5
Age 45-64,18.9,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,18.0
Age 65 or older,8.9,Age 25-44,26.5
Age 65 or older,8.9,Age 45-64,18.9
Age 18-24,11.2,Age 25-44,23.6
Age 18-24,11.2,Age 45-64,26.1
Age 18-24,11.2,Age 65 or older,13.0
Age 25-44,23.6,Age 18-24,11.2
Age 25-44,23.6,Age 45-64,26.1
Age 25-44,23.6,Age 65 or older,13.0
Age 45-64,26.1,Age 18-24,11.2
Age 45-64,26.1,Age 25-44,23.6
Age 45-64,26.1,Age 65 or older,13.0
Age 65 or older,13.0,Age 18-24,11.2
Age 65 or older,13.0,Age 25-44,23.6
Age 65 or older,13.0,Age 45-64,26.1
Age 18-24,11.5,Age 25-44,14.4
Age 18-24,11.5,Age 45-64,18.6
Age 18-24,11.5,Age 65 or older,8.8
Age 25-44,14.4,Age 18-24,11.5
Age 25-44,14.4,Age 45-64,18.6
Age 25-44,14.4,Age 65 or older,8.8
Age 45-64,18.6,Age 18-24,11.5
Age 45-64,18.6,Age 25-44,14.4
Age 45-64,18.6,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,11.5
Age 65 or older,8.8,Age 25-44,14.4
Age 65 or older,8.8,Age 45-64,18.6
Age 18-24,5.9,Age 25-44,10.4
Age 18-24,5.9,Age 45-64,10.8
Age 18-24,5.9,Age 65 or older,5.5
Age 25-44,10.4,Age 18-24,5.9
Age 25-44,10.4,Age 45-64,10.8
Age 25-44,10.4,Age 65 or older,5.5
Age 45-64,10.8,Age 18-24,5.9
Age 45-64,10.8,Age 25-44,10.4
Age 45-64,10.8,Age 65 or older,5.5
Age 65 or older,5.5,Age 18-24,5.9
Age 65 or older,5.5,Age 25-44,10.4
Age 65 or older,5.5,Age 45-64,10.8
Age 18-24,12.6,Age 25-44,18.3
Age 18-24,12.6,Age 45-64,14.3
Age 18-24,12.6,Age 65 or older,7.8
Age 25-44,18.3,Age 18-24,12.6
Age 25-44,18.3,Age 45-64,14.3
Age 25-44,18.3,Age 65 or older,7.8
Age 45-64,14.3,Age 18-24,12.6
Age 45-64,14.3,Age 25-44,18.3
Age 45-64,14.3,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,12.6
Age 65 or older,7.8,Age 25-44,18.3
Age 65 or older,7.8,Age 45-64,14.3
Age 18-24,10.1,Age 25-44,18.3
Age 18-24,10.1,Age 45-64,16.3
Age 18-24,10.1,Age 65 or older,10.1
Age 25-44,18.3,Age 18-24,10.1
Age 25-44,18.3,Age 45-64,16.3
Age 25-44,18.3,Age 65 or older,10.1
Age 45-64,16.3,Age 18-24,10.1
Age 45-64,16.3,Age 25-44,18.3
Age 45-64,16.3,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,10.1
Age 65 or older,10.1,Age 25-44,18.3
Age 65 or older,10.1,Age 45-64,16.3
Age 18-24,11.9,Age 25-44,12.8
Age 18-24,11.9,Age 45-64,14.5
Age 18-24,11.9,Age 65 or older,7.0
Age 25-44,12.8,Age 18-24,11.9
Age 25-44,12.8,Age 45-64,14.5
Age 25-44,12.8,Age 65 or older,7.0
Age 45-64,14.5,Age 18-24,11.9
Age 45-64,14.5,Age 25-44,12.8
Age 45-64,14.5,Age 65 or older,7.0
Age 65 or older,7.0,Age 18-24,11.9
Age 65 or older,7.0,Age 25-44,12.8
Age 65 or older,7.0,Age 45-64,14.5
Age 18-24,23.1,Age 25-44,33.6
Age 18-24,23.1,Age 45-64,27.1
Age 18-24,23.1,Age 65 or older,13.8
Age 25-44,33.6,Age 18-24,23.1
Age 25-44,33.6,Age 45-64,27.1
Age 25-44,33.6,Age 65 or older,13.8
Age 45-64,27.1,Age 18-24,23.1
Age 45-64,27.1,Age 25-44,33.6
Age 45-64,27.1,Age 65 or older,13.8
Age 65 or older,13.8,Age 18-24,23.1
Age 65 or older,13.8,Age 25-44,33.6
Age 65 or older,13.8,Age 45-64,27.1
Age 18-24,11.2,Age 25-44,21.3
Age 18-24,11.2,Age 45-64,18.3
Age 18-24,11.2,Age 65 or older,9.5
Age 25-44,21.3,Age 18-24,11.2
Age 25-44,21.3,Age 45-64,18.3
Age 25-44,21.3,Age 65 or older,9.5
Age 45-64,18.3,Age 18-24,11.2
Age 45-64,18.3,Age 25-44,21.3
Age 45-64,18.3,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,11.2
Age 65 or older,9.5,Age 25-44,21.3
Age 65 or older,9.5,Age 45-64,18.3
Age 18-24,19.9,Age 25-44,22.9
Age 18-24,19.9,Age 45-64,20.1
Age 18-24,19.9,Age 65 or older,9.8
Age 25-44,22.9,Age 18-24,19.9
Age 25-44,22.9,Age 45-64,20.1
Age 25-44,22.9,Age 65 or older,9.8
Age 45-64,20.1,Age 18-24,19.9
Age 45-64,20.1,Age 25-44,22.9
Age 45-64,20.1,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,19.9
Age 65 or older,9.8,Age 25-44,22.9
Age 65 or older,9.8,Age 45-64,20.1
Age 18-24,12.6,Age 25-44,28.3
Age 18-24,12.6,Age 45-64,21.7
Age 18-24,12.6,Age 65 or older,10.8
Age 25-44,28.3,Age 18-24,12.6
Age 25-44,28.3,Age 45-64,21.7
Age 25-44,28.3,Age 65 or older,10.8
Age 45-64,21.7,Age 18-24,12.6
Age 45-64,21.7,Age 25-44,28.3
Age 45-64,21.7,Age 65 or older,10.8
Age 65 or older,10.8,Age 18-24,12.6
Age 65 or older,10.8,Age 25-44,28.3
Age 65 or older,10.8,Age 45-64,21.7
Age 18-24,14.1,Age 25-44,22.0
Age 18-24,14.1,Age 45-64,16.0
Age 18-24,14.1,Age 65 or older,12.5
Age 25-44,22.0,Age 18-24,14.1
Age 25-44,22.0,Age 45-64,16.0
Age 25-44,22.0,Age 65 or older,12.5
Age 45-64,16.0,Age 18-24,14.1
Age 45-64,16.0,Age 25-44,22.0
Age 45-64,16.0,Age 65 or older,12.5
Age 65 or older,12.5,Age 18-24,14.1
Age 65 or older,12.5,Age 25-44,22.0
Age 65 or older,12.5,Age 45-64,16.0
Age 18-24,11.1,Age 25-44,18.2
Age 18-24,11.1,Age 45-64,17.7
Age 18-24,11.1,Age 65 or older,8.8
Age 25-44,18.2,Age 18-24,11.1
Age 25-44,18.2,Age 45-64,17.7
Age 25-44,18.2,Age 65 or older,8.8
Age 45-64,17.7,Age 18-24,11.1
Age 45-64,17.7,Age 25-44,18.2
Age 45-64,17.7,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,11.1
Age 65 or older,8.8,Age 25-44,18.2
Age 65 or older,8.8,Age 45-64,17.7
Age 18-24,16.9,Age 25-44,25.3
Age 18-24,16.9,Age 45-64,23.1
Age 18-24,16.9,Age 65 or older,10.6
Age 25-44,25.3,Age 18-24,16.9
Age 25-44,25.3,Age 45-64,23.1
Age 25-44,25.3,Age 65 or older,10.6
Age 45-64,23.1,Age 18-24,16.9
Age 45-64,23.1,Age 25-44,25.3
Age 45-64,23.1,Age 65 or older,10.6
Age 65 or older,10.6,Age 18-24,16.9
Age 65 or older,10.6,Age 25-44,25.3
Age 65 or older,10.6,Age 45-64,23.1
Age 18-24,7.2,Age 25-44,12.2
Age 18-24,7.2,Age 45-64,11.3
Age 18-24,7.2,Age 65 or older,5.7
Age 25-44,12.2,Age 18-24,7.2
Age 25-44,12.2,Age 45-64,11.3
Age 25-44,12.2,Age 65 or older,5.7
Age 45-64,11.3,Age 18-24,7.2
Age 45-64,11.3,Age 25-44,12.2
Age 45-64,11.3,Age 65 or older,5.7
Age 65 or older,5.7,Age 18-24,7.2
Age 65 or older,5.7,Age 25-44,12.2
Age 65 or older,5.7,Age 45-64,11.3
Age 18-24,9.5,Age 25-44,17.8
Age 18-24,9.5,Age 45-64,13.7
Age 18-24,9.5,Age 65 or older,7.3
Age 25-44,17.8,Age 18-24,9.5
Age 25-44,17.8,Age 45-64,13.7
Age 25-44,17.8,Age 65 or older,7.3
Age 45-64,13.7,Age 18-24,9.5
Age 45-64,13.7,Age 25-44,17.8
Age 45-64,13.7,Age 65 or older,7.3
Age 65 or older,7.3,Age 18-24,9.5
Age 65 or older,7.3,Age 25-44,17.8
Age 65 or older,7.3,Age 45-64,13.7
Age 18-24,7.0,Age 25-44,16.4
Age 18-24,7.0,Age 45-64,13.1
Age 18-24,7.0,Age 65 or older,7.5
Age 25-44,16.4,Age 18-24,7.0
Age 25-44,16.4,Age 45-64,13.1
Age 25-44,16.4,Age 65 or older,7.5
Age 45-64,13.1,Age 18-24,7.0
Age 45-64,13.1,Age 25-44,16.4
Age 45-64,13.1,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,7.0
Age 65 or older,7.5,Age 25-44,16.4
Age 65 or older,7.5,Age 45-64,13.1
Age 18-24,15.6,Age 25-44,19.5
Age 18-24,15.6,Age 45-64,16.7
Age 18-24,15.6,Age 65 or older,10.4
Age 25-44,19.5,Age 18-24,15.6
Age 25-44,19.5,Age 45-64,16.7
Age 25-44,19.5,Age 65 or older,10.4
Age 45-64,16.7,Age 18-24,15.6
Age 45-64,16.7,Age 25-44,19.5
Age 45-64,16.7,Age 65 or older,10.4
Age 65 or older,10.4,Age 18-24,15.6
Age 65 or older,10.4,Age 25-44,19.5
Age 65 or older,10.4,Age 45-64,16.7
Age 18-24,No Data,Age 25-44,13.8
Age 18-24,No Data,Age 45-64,15.8
Age 18-24,No Data,Age 65 or older,10.0
Age 25-44,13.8,Age 18-24,No Data
Age 25-44,13.8,Age 45-64,15.8
Age 25-44,13.8,Age 65 or older,10.0
Age 45-64,15.8,Age 18-24,No Data
Age 45-64,15.8,Age 25-44,13.8
Age 45-64,15.8,Age 65 or older,10.0
Age 65 or older,10.0,Age 18-24,No Data
Age 65 or older,10.0,Age 25-44,13.8
Age 65 or older,10.0,Age 45-64,15.8
Age 18-24,8.1,Age 25-44,17.2
Age 18-24,8.1,Age 45-64,19.4
Age 18-24,8.1,Age 65 or older,9.2
Age 25-44,17.2,Age 18-24,8.1
Age 25-44,17.2,Age 45-64,19.4
Age 25-44,17.2,Age 65 or older,9.2
Age 45-64,19.4,Age 18-24,8.1
Age 45-64,19.4,Age 25-44,17.2
Age 45-64,19.4,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,8.1
Age 65 or older,9.2,Age 25-44,17.2
Age 65 or older,9.2,Age 45-64,19.4
Age 18-24,10.4,Age 25-44,21.1
Age 18-24,10.4,Age 45-64,17.7
Age 18-24,10.4,Age 65 or older,9.6
Age 25-44,21.1,Age 18-24,10.4
Age 25-44,21.1,Age 45-64,17.7
Age 25-44,21.1,Age 65 or older,9.6
